Codigo,Descripcion,PRECIO1,PRECIO2,PRECIO3,PRECIO4,PRECIO5,PRECIO6,PRECIO7,PRECIO8,PRECIO9,PRECIO10
COFI0202,FINCA CERDO DESARROLLO A.G PASTILLA X 40 KILOS SIN TRANSPORTE,109317.7128,0,0,0,0,0,0,0,0,0
COFI0133,FINCA CERDO ENGORDE 65 SIN TRANS,77075.31915,0,0,0,0,0,0,0,0,0
COFI0074,FINCA CERDAS PASTILLA X 40K SIN TRANSPORTE,81820.26596,0,0,0,0,0,0,0,0,0
COFI0284,FINCA MOJARRA INICIACION 40%,189865.0549,184063.6484,178189.2766,181870.7368,177848.0851,0,0,0,0,0
COFI022,FINCA MOJARRA CRECIMIENTO 30%,142373.4066,138071.7363,133665.1915,136378.7368,131872.1277,0,0,0,0,0
COFI0213,FINCA MOJARRA ENGORDE 25%,128835.3846,124961.2308,120973.1064,123410.7368,118766.1702,0,0,0,0,0
COFI0058,CINTA AZUL POTROS P.,110208.0769,106922.1538,103509.7447,105567.7368,100733.3511,0,0,0,0,0
COFI0056,CINTA AZUL YEGUAS P.,101522.3626,98510.72527,95366.76596,97247.73684,92324.84043,0,0,0,0,0
COFI0105,CINTA AZUL ADULTOS P.,98768.40659,95843.73626,92784.89362,94609.73684,89658.7766,0,0,0,0,0
COFI0109,CINTA AZUL OLIMPICO,97721.84272,94781.63878,91756.69286,93607.23882,90134.9754,0,0,0,0,0
COFI0209,CINTA AZUL CABALLOS COMPETENCIA,123313.9011,119614.1099,115796.6383,118121.7368,113420.9043,0,0,0,0,0
COFI0269,CORCEL POTROS P.,102786.5934,99735.03297,96552,98458.73684,93548.7234,0,0,0,0,0
COFI0043,CORCEL ADULTOS P.,87360.05495,84795.64835,82089.40426,83681.73684,78614.52128,0,0,0,0,0
COFI0227,RODEO FIBRA P.,76657.41758,74430.98901,72055.53191,73429.73684,68253.45745,0,0,0,0,0
COFI00106,RODEO FIBRA H.,75657.30769,73462.46154,71117.91489,72471.73684,67285.26596,0,0,0,0,0
SAFI0013,FINCASAL KENTUCKY,113225.1099,109843.9121,106338.2553,108457.7368,103654.0957,0,0,0,0,0
SAFI0003,FINCASAL KENTUCKY ,57675.82418,55951.64835,54165.95745,55247.36842,52856.38298,0,0,0,0,0
SAFI0028,FINCASAL KENTUCKY H X KILO,3074.260989,2982.037363,2886.865957,2944.818421,2827.210106,0,0,0,0,0
COFI0188,FINCA CORCEL HARINA X 30K SIN TRANSP.,78614.52128,0,0,0,0,0,0,0,0,0
COFI0198,EQUIFIBRA PASTILLA 40 K  SIN FLETE,68253.45745,0,0,0,0,0,0,0,0,0
COFI0262,CINTA AZUL OLIMPICO X 30 KG SIN FLETE,90134.9754,0,0,0,0,0,0,0,0,0
SAFI0006,F.FINCASAL 10 CON SELENIO H.,163791.2088,158813.1868,153744.6809,156894.7368,152606.383,0,0,0,0,0
SAFI0005,F.FINCASAL 8 CON SELENIO H.,138138.0769,133970.1538,129694.5106,132321.7368,127771.9681,0,0,0,0,0
SAFI0011,F.FINCASAL 8 CON SELENIO H.10K,38836.92308,37659.07692,36457.19149,37201.68421,36108.08511,0,0,0,0,0
SAFI0004,F.FINCASAL 6 CON SELENIO H.,120530.7143,116918.8132,113187.3617,115455.7368,110726.5426,0,0,0,0,0
SAFI0016,F.FINCASAL HORRO H.,112212.4725,108863.2527,105388.8936,107487.7368,102673.7766,0,0,0,0,0
SAFI0002,F.FINCASAL FORMULA 1 H.,149058.9011,144546.1099,139932.9362,142782.7368,138344.2553,0,0,0,0,0
SAFI0015,F.FINCASAL FORMULA 1 S.P. H.,122252.1978,118585.9341,114801.2766,117104.7368,112393.0851,0,0,0,0,0
SAFI0007,F.FINCASAL FORMULA 1 CALCICA H.,117920.8242,114391.3407,110740.5532,112955.7368,108199.9468,0,0,0,0,0
SAFI0018,F.FINCASAL CEBA H.,85945.49451,83425.75824,80763.23404,82326.73684,77245.10638,0,0,0,0,0
SAFI0017,F.UNIVERSAL 8 H.,141052.8022,136792.8352,132427.1064,135113.7368,130593.6702,0,0,0,0,0
SAFI0008,F.UNIVERSAL 6 H.,119341.6484,115767.2967,112072.5957,114316.7368,109575.4255,0,0,0,0,0
SAFI0014,F.UNIVERSAL F H.,72778.07692,70674.15385,68418.59574,69713.73684,64497.92553,0,0,0,0,0
COFI0102,F.UNIVERSAL F H.10K,21237.91209,20615.82418,19957.87234,20343.68421,19070.74468,0,0,0,0,0
SAFI0012,F.UNIVERSAL F H.1K*20,1772.5,1716.769231,1661.978723,1697.868421,1708.484043,0,0,0,0,0
COFI0194,FINCA SAL 10 CON SELENIO SIN TRANS.,152606.383,0,0,0,0,0,0,0,0,0
SAFI0010,FINCA SAL 6% CON SELENIO SIN TRANSP,110726.5426,0,0,0,0,0,0,0,0,0
SAFI0022,FINCA SAL 8% SELENIO * 10K SIN TRANSPO,36108.08511,0,0,0,0,0,0,0,0,0
SAFI0009,FINCA SAL FORMULA 1 CALCICA SIN TRANSP.,108199.9468,0,0,0,0,0,0,0,0,0
SAFI0019,FINCA SAL UNIVERSAL *10KL SIN TRANS,19070.74468,0,0,0,0,0,0,0,0,0
SAFI0020,FINCA SAL UNIVERSAL *KL SIN TRANS,1708.484043,0,0,0,0,0,0,0,0,0
SAFI0023,FINCA SAL UNIVERSAL X 40 KG SIN FLETE,64497.92553,0,0,0,0,0,0,0,0,0
SAFI0025,FINCASAL 8 %  x 40 SIN FLETE,127771.9681,0,0,0,0,0,0,0,0,0
SAFI0021,FINCA SAL UNIVERSAL 8% X 10K Sin flete,36108.08511,0,0,0,0,0,0,0,0,0
COFI0047,F.CONEJOS P.,104748.1868,101634.6813,98391.02128,100337.7368,95447.71277,0,0,0,0,0
COFI0029,F.CONEJOS P.1K*20,2571.752747,2490.782418,2411.289362,2463.468421,2482.228723,0,0,0,0,0
COFI0003,F.CUYES P.,96978.02198,94109.89011,91106.38298,92894.73684,87925.53191,0,0,0,0,0
COFI0002,F.CUYES P.20K,49324.17582,47863.73626,46336.17021,47247.36842,2238.56383,0,0,0,0,0
COFI0004,F.CUYES P.1K*20,2377.472527,2302.637363,2229.148936,2277.368421,2294.148936,0,0,0,0,0
COFI0138,FINCA CONEJOS * K SIN TRANS,2482.228723,0,0,0,0,0,0,0,0,0
COFI0139,FINCA CUYES * 20K SIN TRANS,2238.56383,0,0,0,0,0,0,0,0,0
COFI0140,FINCA CUYES * K SIN TRANS,2294.148936,0,0,0,0,0,0,0,0,0
COFI0163,FINCA CUYES * 40K SIN TRANS,87925.53191,0,0,0,0,0,0,0,0,0
COFI0167,FINCA CONEJOS  * 40KL SIN TRANS,95447.71277,0,0,0,0,0,0,0,0,0
COCN0025,C.POLLITOS INICIACION C.,121746.9231,118096.6154,113124.1263,116620.7368,110726,0,0,0,0,0
COCN0012,C.POLLO CAMPESINO P.,92029.67033,89317.8022,85557.05263,88154.73684,82260,0,0,0,0,0
COCN0013,C.POLLO CAMPESINO P. 1K*20,2399.917582,2328.989011,2230.926316,2298.868421,43030,0,0,0,0,0
COCN0021,C.MAXI-HUEVO C.,110379.2857,107087.956,102578.9895,105731.7368,99837,0,0,0,0,0
COCN0011,C.PONEDORA EXTRA I C.,102968.2418,99910.94505,95704.16842,98632.73684,92738,0,0,0,0,0
COCN0014,C.PONEDORA SUELTA P.,85188.62637,82692.79121,79210.98947,81601.73684,75707,0,0,0,0,0
COCN0015,C.PONEDORA SUELTA P.1K*20,2228.917582,2163.389011,3453.831579,2135.068421,1987.7,0,0,0,0,0
COCN0005,C.CERDOS SPR LEVANTE P.,107881.0989,104668.6593,100261.5579,103338.7368,97444,0,0,0,0,0
COCN0005,C.CERDOS LEVANTE P.,103324.2308,100255.6923,96034.4,98973.73684,93079,0,0,0,0,0
COCN0006,C.CERDOS ENGORDE P.,85781.59341,83267.03297,79761.05263,82169.73684,76275,0,0,0,0,0
COCN0016,C.MAXI-CERDAS LACTAN. P.,109936.6484,106659.2967,102168.3789,105307.7368,99413,0,0,0,0,0
COCN0007,C.TERNERAS LEVANTE P.,101034.8352,98038.59341,93910.65263,96780.73684,90886,0,0,0,0,0
